picture,salesopen,salesgross,theatres,weeks
string,numeric,numeric,numeric,numeric
Harry Potter and the Deathly Hallows Part 2,169.19,381.01,4375,19
Transformers: Dark of the Moon,97.85,352.39,4088,15
The Twilight Saga: Breaking Dawn Part 1,138.12,281.29,4066,14
The Hangover Part II,85.95,254.46,3675,16
Pirates of the Caribbean: On Stranger Tides,90.15,241.07,4164,19
Fast Five,86.2,209.84,3793,15
Mission: Impossible - Ghost Protocol,12.79,208.55,3555,13
Cars 2,66.14,191.45,4115,25
Sherlock Holmes: A Game of Shadows,39.64,186.59,3703,13
Thor,65.72,181.03,3963,16
Rise of the Planet of the Apes,54.81,176.76,3691,19
Captain America: The First Avenger,65.06,176.65,3715,16
The Help,26.04,169.71,3014,30
Bridesmaids,26.25,169.11,2958,20
Kung Fu Panda 2,47.66,165.25,3952,18
Puss in Boots,34.08,149.26,3963,18
X-Men: First Class,55.1,146.41,3692,17
Rio,39.23,143.62,3842,21
The Smurfs,35.61,142.61,3427,20
Alvin and the Chipmunks: Chipwrecked,23.24,131.37,3734,13
Super 8,35.45,127,3424,16
Rango,38.08,123.48,3923,18
Horrible Bosses,28.3,117.54,3134,16
Green Lantern,53.17,116.6,3816,15
Hop,37.54,108.09,3616,11
Paranormal Activity 3,52.57,104.03,3329,11
Just Go With It,30.51,103.03,3548,14
The Girl with the Dragon Tattoo (2011),12.77,102.36,2950,12
Bad Teacher,31.6,100.29,3049,16
Cowboys & Aliens,36.43,100.24,3754,14
Gnomeo and Juliet,25.36,99.97,3037,19
The Green Hornet,33.53,98.78,3584,14
The Lion King (in 3D),30.15,94.24,2340,17
The Muppets,29.24,88.57,3440,16
Real Steel,27.32,85.47,3440,19
"Crazy, Stupid, Love.",19.1,84.35,3020,17
Battle: Los Angeles,35.57,83.55,3417,12
Immortals,32.21,83.5,3120,15
The Descendants,1.19,81.7,2038,17
Zookeeper,20.07,80.36,3482,16
War Horse,7.52,79.38,2856,12
Limitless,18.91,79.25,2838,16
Tower Heist,24.03,78.05,3870,13
The Adventures of Tintin,9.72,77.48,3087,12
Contagion,22.4,75.66,3222,14
Moneyball,19.5,75.61,3018,19
We Bought a Zoo,9.36,74.77,3170,19
Jack and Jill,25,74.16,3438,15
Justin Bieber: Never Say Never,29.51,73.01,3118,13
Hugo,11.36,72.51,2608,16
Dolphin Tale,19.15,72.29,3515,18
No Strings Attached,19.65,70.66,3050,11
Mr. Popper's Penguins,18.45,68.22,3342,18
Happy Feet Two,21.24,64.01,3611,16
Unknown,21.86,63.69,3043,12
The Adjustment Bureau,21.16,62.5,2847,12
Water for Elephants,16.84,58.71,2820,16
The Lincoln Lawyer,13.21,58.01,2707,18
Midnight in Paris,0.6,56.81,1038,43
Friends with Benefits,18.62,55.8,2926,9
I Am Number Four,19.45,55.1,3156,15
Source Code,14.81,54.71,2971,15
New Year's Eve,13.02,54.54,3505,11
Insidious,13.27,54.01,2419,23
Tyler Perry's Madea's Big Happy Family,25.07,53.35,2288,13
Diary of a Wimpy Kid: Rodrick Rules,23.75,52.7,3169,16
Footloose (2011),15.56,51.8,3555,13
The Dilemma,17.82,48.48,2943,7
Arthur Christmas,12.07,46.46,3376,7
Hall Pass,13.54,45.06,2950,11
Soul Surfer,10.6,43.85,2240,15
Final Destination 5,18.03,42.59,3155,9
The Artist,0.2,41.36,1756,16
The Ides of March,10.47,40.96,2199,14
Hanna,12.37,40.26,2545,13
Something Borrowed,13.95,39.05,2904,12
Spy Kids: All the Time in the World,11.64,38.54,3305,17
Scream 4,18.69,38.18,3314,11
"Big Mommas: Like Father, Like Son",16.3,37.92,2821,14
Red Riding Hood,14.01,37.66,3030,11
In Time,12.05,37.52,3127,14
Paul,13.04,37.41,2806,9
J. Edgar,11.22,37.31,1985,15
The Roommate,15,37.3,2534,7
Jumping the Broom,15.22,37.3,2035,8
The Change-Up,13.53,37.08,2913,8
30 Minutes or Less,13.33,37.05,2888,7
Colombiana,10.41,36.67,2614,10
Sucker Punch,19.06,36.39,3033,9
Larry Crowne,13.1,35.61,2976,7
A Very Harold & Kumar 3D Christmas,12.95,35.06,2875,10
Drive (2011),11.34,35.06,2904,21
50/50,8.64,35.01,2479,13
Courageous,9.11,34.52,1214,17
The Rite,14.79,33.05,2985,10
Arthur (2011),12.22,33.04,3276,9
Extremely Loud & Incredibly Close,0.07,31.76,2630,12
The Debt,9.91,31.18,1874,9
The Sitter,9.85,30.44,2752,10
Priest,14.95,29.14,2864,6
